date,mean,std,variance,max,min,median,skewness,kurtosis,psd_mean,dom_freq_1,dom_freq_2,dom_freq_3,rms,peak_to_peak,entropy
2025-06-08-04-16-55,0.46957860058225287,0.3350679889946804,0.22429582664018086,0.09631258334322307,0.5402249469598565,0.31661516421202707,0.14190951817265418,0.03617132801627555,0.24135107293324032,0.06496524367058523,0.03576489946408336,0.016220576950562754,0.33502937992440274,0.14259546006357215,0.7652253451820208
2025-06-09_04-21-19,0.4138301294206452,0.2760916852746408,0.1767212148316741,0.136162592199708,0.564498426939982,0.5108452778376504,0.1707303477989763,0.048264015365341556,0.25073147997467743,0.05196442186505348,0.0,0.1178276300802446,0.27606966516152454,0.1747884560945817,0.6409304857436671
2025-06-10_04-12-50,0.24207277102664468,0.2508959976051799,0.15745094689142622,0.1404478679880583,0.6743792816473912,0.3252866767493938,0.18503429746769678,0.058503186478618324,0.1207833749587473,0.05225115457575261,0.045017661251452665,0.02856188660758631,0.25117709227789775,0.15231755159465726,0.6553102761542613
2025-06-11_04-03-47,0.38018658291722823,0.16216423965999616,0.09461282689077882,0.0854819040312974,0.7430254740118015,0.6724642074514662,0.15553633910725992,0.062165824627451904,0.07788986444722223,0.08705877579398369,0.16050697545737833,0.023352903500409486,0.1621876702379189,0.0832237283893924,0.6782580333344272
2025-06-12_03-58-07,0.269723536074997,0.08174380019746641,0.04442401406066779,0.054924917244175475,0.7713685823561388,0.5956699200821045,0.11121521482554084,0.05025743929033363,0.021290193145556052,0.20207436159690087,0.014837515376549076,0.02676169877088949,0.08203672879520119,0.04718647296512629,0.6854172032344654
2025-06-15_04-00-09,0.18399380793219594,0.2778798786165765,0.1781128586117283,0.23723851060620998,0.5154798826277309,0.665901369416928,0.22883555400809588,0.14352830515716947,0.11286910129367111,0.059807891106219015,0.018677427420955798,0.03700502820804154,0.2783337498781836,0.2831773457892308,0.4216651647512477
2025-06-16_04-07-10,0.40568715301431885,0.013929140598805345,0.0071002068408710095,0.17953121983750048,0.8668975164103248,0.809959696242762,0.4055152603976802,0.2490193712453711,0.06168036410085748,0.042021386409704056,0.06407097795610309,0.021937773436004837,0.013950643976409771,0.14310495742874485,0.29707004397680636
2025-06-17_04-07-13,0.3795733798138675,0.05054280113416876,0.026683640986456453,0.0979672955450474,0.9005977042214164,0.6034730446926284,0.25688433884723233,0.09822195209191535,0.013471874319804233,0.07268822805206965,0.040385910920403195,0.022384070037453366,0.050588796246225365,0.057055394333045184,0.5778278544765416
2025-06-18_04-17-19,0.4453031208054143,0.0,0.0,0.33129974795116784,1.0000000000000002,0.7636843485655942,0.9642641523710999,1.0,0.0415759248092768,0.07235727423930877,0.011291435252758383,0.07631964872630198,0.0,0.2558829052178764,0.0
2025-06-19_04-02-31,0.3426388745003041,0.03861836336841562,0.020159279617185943,0.01754432354319871,0.7536452231861394,0.5611545283619074,0.1003609596258883,0.0319878550545008,0.010149139150887804,0.019933213394750356,0.06585308272900184,0.020852636454792933,0.03873306748300531,0.015768540974853862,0.709602660049022
2025-06-21_04-10-17,0.833622256345806,0.2505384855810753,0.15718205519335496,0.0,0.7495574847908755,0.848144668404098,0.04637540100170272,0.0,0.027534014950547386,0.3777857874132456,0.0013637808125222077,0.0727503552255597,0.2514981482884676,0.0,1.0
2025-06-22_04-03-46,0.07996164158544278,0.12574491863022796,0.07108750682883491,0.23145622038749214,0.9336378693334801,0.8371053280319118,0.5001720308682588,0.33594992184561984,0.0032015015416871906,0.05361686569464597,0.12386145650349055,0.0,0.1268874015716357,0.17656448513050643,0.3433798740675793
2025-06-23_04-04-30,0.3668936927238569,0.3330003669824477,0.22256942916820902,0.08871343289180422,0.6302234294263865,0.5203131316553755,0.1528718711575147,0.03813299088231446,0.32320658998267177,0.06933754838263381,0.013163933059829672,0.140018085383287,0.3330084508980523,0.11358020775013317,0.8057943738532409
2025-06-25_04-12-51,0.293523016197874,0.25927716420671965,0.16379099835399177,0.05685083167696112,0.5568640167561597,0.31638504390251454,0.09315268756816608,0.01990215443768541,0.27207804448676265,0.0,0.011408197780442535,0.07690366456270908,0.25942287954837906,0.10088263984132417,0.8135879288361489
2025-06-26_04-01-15,0.8189024459957697,0.32352162000987106,0.2147093969505555,0.1166632644981776,0.3004198331408553,0.9999999999999999,0.03623117589134962,0.038491648792721975,0.08025875614987263,0.10218884206301423,0.04203070391092506,0.06193999900398697,0.3243170168157484,0.22000573742911322,0.6384285557944152
2025-06-28_04-25-28,0.48876777002446486,0.4810494674718073,0.3569310717803109,0.08682431771114413,0.3624283937808497,0.6061503845965002,0.015655434244535475,0.009086332951637573,0.23743363891320163,0.04802122479991942,0.020674089715803094,0.04233131418134976,0.4809985967901079,0.17651563015055416,0.8676738446267991
2025-06-29_04-07-02,0.6416911926182738,0.366598410526645,0.25114940938701946,0.19720652072826506,0.8051935270703279,0.28849486414344183,0.23103337486930273,0.07112294232260769,0.1381482570029609,0.01695437480133182,0.03507886248085253,0.09712037839428372,0.3667639073565466,0.1749038163643739,0.7188473224910115
2025-06-30_04-21-10,0.26610157081202696,0.27499291279095395,0.1758676831536308,0.2764527167985036,0.6521420555517556,0.42066136402957977,0.3125354145912734,0.18757714877591045,0.08910998082279623,0.06725127578878595,1.0,0.9999999999999998,0.2751972476118817,0.2875929942953628,0.43749595854410606
2025-07-01_04-12-53,0.682011091261221,0.17815441986186442,0.10535845973640393,0.016518705222427016,0.8056282896652093,0.6628378752354533,0.10062028693652485,0.012772154693042048,0.0379715684293776,0.10021535515835808,0.009623573155693666,0.09160218806456016,0.17852689386189358,0.0022220011720230914,0.929482610477466
2025-07-02_03-45-23,0.29131783854408466,0.15755697386082612,0.09156385958065572,0.15769710201580417,0.5723109119491498,0.8572837799570604,0.17645104746511803,0.1331716294856148,0.0,0.06288709958104516,0.028457150316952475,0.06309336624007325,0.1577473015324643,0.19346760179062072,0.4363430120713878
2025-07-03_04-27-06,0.09218022288080252,0.36021975409895,0.24563711912270988,0.14659096392601428,0.7229400899658641,0.4015135661071527,0.14629499947830085,0.03440196370258318,0.19552285452990031,0.9999999999999999,0.6867662968556755,0.15014029051005276,0.3609674601020645,0.14644525588585605,0.8004605215869751
2025-07-07_04-06-26,0.16351799446653092,0.35663548591490546,0.24255743029597057,0.14541873528370441,0.6051530726025576,0.676991502655333,0.07469066345632397,0.02357136960004424,0.24709128350140597,0.031053609545180882,0.011790658385392266,0.01863391887713646,0.35710520155827363,0.17380078558995216,0.7736593290026028
2025-07-09_04-13-28,0.36425822551385545,0.2455262730831601,0.15342565478298922,0.04234171788173283,0.7037113259736247,0.6304461112208188,0.05135281054835639,0.005705436853389197,0.10414134056961952,0.3231653072501298,0.006728121564174735,0.0742234318844474,0.24555339334029036,0.051524349156635174,0.8954632181983988
2025-07-12_04-23-40,0.21300784116023813,0.36036515486690524,0.24576232055845262,0.16381223427922437,0.49720559669188535,0.370565771771344,0.08936042080339776,0.03571626486460211,0.2451342760152162,0.05669860474923496,0.012147113930514968,0.01958479783898924,0.36067358447897657,0.2174650147026248,0.6937395056502496
2025-07-13_04-18-08,0.18613500683936285,0.3292467493176868,0.21944614379041735,0.10530738205945711,0.4622558143647003,0.4367223200389544,0.07571730155131522,0.03732636546870116,0.14532239621351678,0.2483553924152538,0.007897618173094641,0.25642842695768797,0.3296574636510592,0.17003560163520065,0.7262221029782383
2025-07-14_04-09-40,1.0,0.23255843314437352,0.1438228384712598,0.10443701643159264,0.6558180391635903,0.7455504358104781,0.13415748136265648,0.027006046046272176,0.10095922588239686,0.9113026004232083,0.016422032085605803,0.030988547318939436,0.2346282554014676,0.12241043299018828,0.7169367902243686
2025-07-17_04-12-18,0.1732749397550405,0.3678691939305526,0.2522524246464569,0.083148111028791,0.6402409215842684,0.5088221039622762,0.09083533387948742,0.0091171573358815,0.18482033879663762,0.04208120684039224,0.038602273890432776,0.034035336721480666,0.3682976958275862,0.10584297467477738,0.90098251630226
2025-07-18_05-11-42,0.7938623165402592,0.3547593666440043,0.24095051717091073,0.10986698921268118,0.52375686197861,0.463420966820863,0.1316545827391093,0.02223432118302393,0.12544199928670352,0.37578589020852715,0.036011632648426675,0.049897666562295925,0.35541420563070125,0.15952258358087645,0.7693007071405948
2025-07-19_04-21-08,0.4273073528536085,0.3054141039781103,0.1999425116853609,0.18265420778832236,0.32468300215379775,0.7657736577953091,0.04599034473624114,0.03533901217637611,1.0,0.02238457948034553,0.02463418333893316,0.07350355245491069,0.30538236121847484,0.2771686898973058,0.5745200603421665
2025-07-20_04-21-10,0.1512554234229025,0.2615722318304823,0.16553931700010174,0.14211301747795108,0.7022142032778425,0.46304490142013377,0.12447079029918087,0.04567482670637678,0.16354729899610432,0.05648352013157199,0.029448709455923008,0.019384536139192568,0.26216596477661225,0.14717883032946727,0.703929632117557
2025-07-22_04-05-42,0.5192952631642507,0.23622785774453847,0.14652312044498525,0.15002030784992143,0.7459060978210155,0.30501627808674103,0.22732562954724034,0.07217025257353096,0.10367466197905961,0.11234159999419713,0.006256557473110234,0.0713930625610883,0.23622879576192068,0.14416859917486652,0.6392236735116006
2025-07-23_04-23-14,0.6388983235595498,0.9999999999999999,0.9999999999999999,1.0,0.5638699537962741,0.4762068214323445,1.0000000000000002,0.8154011405734285,0.6973558005621466,0.05114657676098735,0.022310374433053403,0.0466962587993356,1.0,0.9999999999999999,0.08691350114400853
2025-07-24_04-13-16,0.2931271123422282,0.6160641021684593,0.49846471001746495,0.15520060593491247,0.0,0.3636852429092039,0.0,0.020448747517616852,0.29928206505740435,0.147077306911295,0.07573985724607742,0.36020360968821763,0.6161125240254356,0.3294399459310313,0.7365537657052865
2025-07-26_04-36-31,0.4489941150323664,0.3202262610576705,0.2119977258267929,0.06878292697459568,0.7352520579751617,0.27531091123706974,0.12748215200872473,0.017031646365225563,0.1685551958173847,0.23706788946291737,0.015705448517080146,0.029076992711236857,0.32018819510715646,0.06915360265621867,0.9210961373913533
2025-07-27_04-14-17,0.0,0.521667822062062,0.3976043018965326,0.1587960745527009,0.6306351848569779,0.09478812890874089,0.12376471225816046,0.018039580455456207,0.2814966669672605,0.2709387960578197,0.030859195071154286,0.17419250094706037,0.5226544560857637,0.180417286222048,0.8868444898028738
2025-07-28_04-31-34,0.1922199675146924,0.36272131042470745,0.24779408526562105,0.09019621027874469,0.5679292267568866,0.5137511240252046,0.06943379668204187,0.008544294874148,0.2170103021478484,0.022460711635319937,0.042766474348121794,0.025559259358739636,0.3630913923759632,0.13005611282525492,0.8559691907449709
2025-07-29_04-15-28,0.10861214560850041,0.7036494368082998,0.5999724051475289,0.8379603483742162,0.5684167861937189,0.0,0.9159597610583484,0.8153622910811018,0.5548092726806761,0.06266019391303565,0.033041832562251364,0.10041739416498147,0.7040824883059319,0.8441351324083318,0.08067197905083612
2025-07-30_04-14-44,0.058964871901166116,0.18744044580614572,0.11171550143918332,0.1374677520916297,0.7406129728475417,0.10695710016479298,0.16030603573623958,0.056163914236750254,0.06998509294095986,0.07007044317277522,0.057890763375747334,0.11421651312380798,0.18859428657724353,0.13345914822732796,0.6351032627044471
2025-07-31_04-12-49,0.1344804009909335,0.4071289199693914,0.2871202361879547,0.12960005656479068,0.5657971507766472,0.2367515133219512,0.0996896265551272,0.016932784607446832,0.2548363353887101,0.022384579480345536,0.09931332592593789,0.10098130322938295,0.4076657474547092,0.16820654585305383,0.8209726148512142
2025-08-02_04-17-14,0.23964394565031188,0.23794248648615657,0.14778948336350553,0.05653589695715122,0.7881738692111495,0.44907157312633317,0.09808412586399375,0.007105911724729127,0.09599971566365012,0.0419974914710014,0.059538098688865115,0.07595078963326216,0.23823779056223615,0.04466243955950816,0.9110052222264882
